Book Id,Title,Last,First,ISBN13,Average Rating,Publisher,Original Publication Year,Date Read
1069108,Miss Bianca in the Salt Mines (The Rescuers; #4),Margery,Sharp,9780440457176,3.84,Dell Pub Co,1966,
1112570,Miss Bianca (The Rescuers; #2),Margery,Sharp,9780316783101,3.94,Little Brown and Company,1962,
35068570,Bat and the Waiting Game,Elana K.,Arnold,9780062445872,4.25,Walden Pond Press,2018,6/10/22
36768587,Doctor How and the Dragons: Book 4,Mark,Speed,None,4.29,None,,6/9/22
314263,For Your Eyes Only (James Bond; #8),Ian,Fleming,9780142003220,3.67,Penguin Group,1960,6/9/22
119322,The Golden Compass (His Dark Materials; #1),Philip,Pullman,9780679879244,4.03,RANDOM HOUSE TRADE @,1995,
25859268,The Long Cosmos (The Long Earth; #5),Terry,Pratchett,9780062297372,3.91,Harper,2016,6/5/22
37741,Tales of a Fourth Grade Nothing (Fudge; #1),Judy,Blume,9780425193792,4.11,Berkley,1972,6/5/22
34468646,Doctor How and the Alien Invasion: Book 3,Mark,Speed,None,4.12,None,,5/31/22
22886868,The Shepherd's Crown (Discworld; #41; Tiffany Aching; #5),Terry,Pratchett,9780062429971,4.38,Harper,2015,5/28/22
40411206,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between),Lauren,Graham,9780425285183,3.94,Ballantine Books,2016,5/23/22
51291,How to Lie with Statistics,Darrell,Huff,9780393310726,3.84,W. W. Norton & Company,1954,5/18/22
23213813,The Long Utopia (The Long Earth #4),Terry,Pratchett,9780062297358,3.9,Harper,2015,5/18/22
1044355,When You Are Engulfed in Flames,David,Sedaris,9780316143479,4.08,Little Brown and Company,2005,5/5/22
7576115,I Shall Wear Midnight (Discworld; #38; Tiffany Aching; #4),Terry,Pratchett,9780385611077,4.36,Doubleday UK,2010,5/4/22
3759,Goldfinger (James Bond; #7),Ian,Fleming,9780142002049,3.83,Penguin Books,1959,4/18/22
18780375,Dr. No (James Bond #6),Ian,Fleming,None,3.81,Thomas & Mercer,1958,4/3/22
33456,A Dirty Job (Grim Reaper; #1),Christopher,Moore,9780060590277,4.03,William Morrow,2006,4/2/22
34492,Wintersmith (Discworld; #35; Tiffany Aching; #3),Terry,Pratchett,9780060890315,4.25,HarperTempest,2006,9/29/21
18586487,The Long Mars (The Long Earth; #3),Terry,Pratchett,9780857521743,3.77,HarperCollins Publishers,2014,3/14/22
34501,A Hat Full of Sky (Discworld; #32; Tiffany Aching; #2),Terry,Pratchett,9780552552646,4.32,Corgi,2004,9/16/21
31554413,The Boy on the Bridge (The Girl With All the Gifts; #2),M.R.,Carey,9780316300339,3.96,Orbit,2013,2/21/22
3764,From Russia with Love (James Bond; #5),Ian,Fleming,9780142002070,3.91,Penguin Books,1957,2/10/22
34494,The Wee Free Men (Discworld; #30; Tiffany Aching; #1),Terry,Pratchett,9780060012380,4.29,HarperTrophy,2003,7/31/21
56179360,Light from Uncommon Stars,Ryka,Aoki,9781250789068,4.06,Tor Books,2021,1/30/22
17167572,The Long War (The Long Earth; #2),Terry,Pratchett,9780062067777,3.65,HarperCollins Publishers,2013,1/29/22
62111,The Swiss Family Robinson,Johann David,Wyss,9781402726026,3.91,Sterling,1812,1/17/22
3760,Diamonds Are Forever (James Bond; #4),Ian,Fleming,9780142002056,3.64,Penguin Group,1956,1/13/22
42519313,Nothing to See Here,Kevin,Wilson,9780062913487,3.96,Ecco,2019,1/1/22
3836,Don Quixote,Miguel de Cervantes,Saavedra,None,3.9,Penguin Books,1605,1/1/22
36236124,Fight Club,Chuck,Palahniuk,9780393355949,4.18,W. W. Norton & Company,1996,12/26/21
2932,Robinson Crusoe,Daniel,Defoe,None,3.68,Modern Library,1719,12/20/21
44077476,The Mysterious Benedict Society and the Riddle of Ages (The Mysterious Benedict Society; #4),Trenton Lee,Stewart,None,4.14,Little Brown,2019,12/5/21
13147230,The Long Earth (The Long Earth; #1),Terry,Pratchett,9780062067753,3.78,HarperCollins Harper,2012,12/1/21
93448,The White Plague,Frank,Herbert,9780425067574,3.69,Berkley Publishing Group,1982,
433567,Flatland: A Romance of Many Dimensions,Edwin A.,Abbott,9780486272634,3.81,Dover Publications Inc.,1884,
11275,The Wind-Up Bird Chronicle,Haruki,Murakami,9780965341981,4.15,Knopf,1994,11/18/21
51171377,Axiom's End (Noumena; #1),Lindsay,Ellis,9781250256737,3.71,St. Martin's Press,2020,
9418327,Bossypants,Tina,Fey,None,3.96,Reagan Arthur Books,2011,11/5/21
54817546,You'll Never Believe What Happened to Lacey: Crazy Stories about Racism,Amber,Ruffin,9781538719367,4.42,Grand Central Publishing,2021,11/2/21
6164358,The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society; #3),Trenton Lee,Stewart,9780307582393,4.29,Little Brown Books for Young Readers,2009,11/2/21
43319933,Every Tool's a Hammer: Life Is What You Make It,Adam,Savage,9781982113490,4.18,Atria Books,2019,10/28/21
38532145,My Squirrel Days,Ellie,Kemper,9781501163340,3.37,Scribner,2018,10/28/21
3750,Moonraker (James Bond; #3),Ian,Fleming,9780142002063,3.8,Penguin Books,1955,10/21/21
17235026,The Girl with All the Gifts (The Girl With All the Gifts; #1),M.R.,Carey,9780356500157,3.95,Orbit ,2014,10/14/21
2845024,Anathem,Neal,Stephenson,9780061474095,4.17,William Morrow,2008,
40651883,Snow Crash,Neal,Stephenson,None,4.02,Spectra,1992,
10552338,Reamde,Neal,Stephenson,9780061977961,3.99,William Morrow,2011,
816,Cryptonomicon,Neal,Stephenson,None,4.24,Avon,1999,
18007533,One More Thing: Stories and Other Stories,B.J.,Novak,9780385351836,3.67,Knopf,2014,10/6/21
2159225,The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society; #2),Trenton Lee,Stewart,9780316057806,4.21,Little Brown and Company,2008,10/3/21
10335308,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy,Kaling,9780307886262,3.86,Crown Archetype,2011,10/3/21
53317441,Popisho,Leone,Ross,9780374602451,3.82,Farrar Straus and Giroux,2021,9/25/21
3763,Live and Let Die (James Bond; #2),Ian,Fleming,9780142003237,3.63,Penguin Group,1954,9/10/21
20910157,Yes Please,Amy,Poehler,9780062268341,3.85,Dey St.,2014,9/7/21
24611840,Believe Me: A Memoir of Love; Death; and Jazz Chickens,Eddie,Izzard,9781611764697,3.86,Penguin Audio,2017,9/1/21
46730,A Journal of the Plague Year,Daniel,Defoe,9780140437850,3.55,Penguin Classics,1722,8/28/21
40605329,The Mysterious Benedict Society (The Mysterious Benedict Society; #1),Trenton Lee,Stewart,9780316032117,4.2,Little Brown Books for Young Readers,2007,8/27/21
22836957,The Revenant,Michael,Punke,9781250066626,3.96,Picador,2002,8/24/21
64222,Going Postal (Discworld; #33; Moist von Lipwig; #1),Terry,Pratchett,9780060502935,4.41,HarperTorch,2004,8/17/21
74731,The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove; #3),Christopher,Moore,9780060842352,3.81,William Morrow,2004,8/14/21
12867423,Girl Walks into a Bar . . .: Comedy Calamities; Dating Disasters; and a Midlife Miracle,Rachel,Dratch,9781592407118,3.62,Gotham,2012,8/6/21
8522975,Worse Things Happen at Sea!,Alan,Snow,9780192719652,3.85,Oxford University Press,2010,7/24/21
24976135,Doctor How and the Deadly Anemones (Doctor How; #2),Mark,Speed,9780957320499,4.52,Terra Supra Limited,2015,7/24/21
3758,Casino Royale (James Bond; #1),Ian,Fleming,9780142002025,3.74,Penguin,1953,7/23/21
21975925,The Bassoon King: My Life in Art; Faith; and Idiocy,Rainn,Wilson,9780525954538,3.77,Dutton,2015,7/18/21
45754981,The Glass Hotel,Emily St. John,Mandel,9780525521143,3.69,Alfred A. Knopf,2020,7/13/21
79088,Here Be Monsters! (1) (The Ratbridge Chronicles),Alan,Snow,9780689870477,3.84,Atheneum Books for Young Readers,2005,7/11/21
32666502,Doctor How and the Illegal Aliens (Doctor How; #1),Mark,Speed,9781537545844,4,Terra Supra Limited,2014,7/8/21
38919266,The Greatest Love Story Ever Told,Megan,Mullally,9781101986677,3.65,Dutton,2018,7/8/21
34215764,Remote Control,Nnedi,Okorafor,None,3.85,Tordotcom,2021,6/21/21
39063,Titus Groan (Gormenghast; #1),Mervyn,Peake,9780879514259,3.92,Overlook Press,1946,6/16/21
10552088,The Bridge to Never Land (Peter and the Starcatchers; #5),Dave,Barry,9781423138655,4.04,Hyperion Books,2011,6/15/21
6582080,Peter and the Sword of Mercy (Peter and the Starcatchers; #4),Dave,Barry,9781423309758,4.19,None,2009,5/21/21
89369,The Te of Piglet,Benjamin,Hoff,9781405204279,3.76,EGMONT CHILDREN'S,1992,5/13/21
3545495,Star Wars: Millennium Falcon,James,Luceno,9780345507006,3.82,LucasBooks,2008,5/1/21
48757,The Tao of Pooh,Benjamin,Hoff,9781405204262,4.01,Egmont Books,1982,5/1/21
93282,The Acts of King Arthur and His Noble Knights,John,Steinbeck,9780141186306,3.83,Penguin Books,1976,4/22/21
39996759,A Philosophy of Software Design,John,Ousterhout,9781732102200,4.21,Yaknyam Press,2018,4/20/21
555500,Peter and the Secret of Rundoon (Peter and the Starcatchers; #3),Dave,Barry,9780786837885,4.17,Hyperion Books,2007,4/17/21
50033,Dandelion Wine,Ray,Bradbury,9780671037703,4.09,Earthlight (UK) ,1957,4/7/21
42975172,The Testaments (The Handmaid's Tale; #2),Margaret,Atwood,None,4.19,Nan A. Talese,2019,3/31/21
334176,The Sparrow (The Sparrow; #1),Mary Doria,Russell,9780449912553,4.14,Ballantine Books,1996,3/27/21
9014,The Long Walk,Richard,Bachman,9780451196712,4.08,Berkley,1978,
77203,The Kite Runner,Khaled,Hosseini,None,4.35,Riverhead Books,2003,
7235533,The Way of Kings (The Stormlight Archive; #1),Brandon,Sanderson,9780765326355,4.66,Tor Books,2010,
10365,Where the Red Fern Grows,Wilson,Rawls,9780375806810,4.12,Yearling,1961,
386162,The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy; #1),Douglas,Adams,None,4.23,Del Rey,1979,
9531,Peter and the Shadow Thieves (Peter and the Starcatchers; #2),Dave,Barry,9780786837878,4.17,Hyperion Books,2006,3/17/21
248596,Something Wicked This Way Comes,Ray,Bradbury,9780380729401,3.91,Harper Voyager,1962,3/10/21
50847,Variable Star,Robert A.,Heinlein,9780765313126,3.89,Tor Books,2006,3/1/21
32758901,All Systems Red (The Murderbot Diaries; #1),Martha,Wells,None,4.14,Tor.com,2017,
29662066,Catalyst: A Rogue One Novel,James,Luceno,9780345511492,3.75,Del Rey,2016,2/19/21
34262,Peter and the Starcatchers (Peter and the Starcatchers; #1),Dave,Barry,9780786849079,4.05,Disney Hyperion,2004,2/11/21
34379047,Doctor Who: Casualties of War,Guy,Adams,9781785751936,4.27,Big Finish Productions,2017,2/10/21
41555943,The Hive (The Second Formic War #2),Orson Scott,Card,9780765375643,4.11,Tor Books,2019,2/5/21
26059179,The Queens (The Second Formic War; #3),Orson Scott,Card,None,4.26,None,,
7157080,Design of Design; The: Essays from a Computer Scientist,Frederick P. Brooks,Jr.,9780201362985,3.77,Addison-Wesley Professional,2010,1/19/21
378,The Phantom Tollbooth,Norton,Juster,9780394820378,4.2,Random House Bullseye Books,1961,1/15/21
18864,The Rum Diary,Hunter S.,Thompson,9780684856476,3.84,Scribner / Simon & Schuster,1998,1/2/21
6689,James and the Giant Peach,Roald,Dahl,9780375814242,4.03,Alfred A. Knopf ,1961,1/2/21
6250169,Unseen Academicals (Discworld; #37; Rincewind; #8),Terry,Pratchett,9780061161704,4.01,HarperCollins,2009,1/2/21
8855321,Leviathan Wakes (The Expanse; #1),James S.A.,Corey,9781841499888,4.31,Orbit,2011,
6687,Charlie and the Great Glass Elevator (Charlie Bucket; #2),Roald,Dahl,9780142404126,3.68,Viking Books for Young Readers,1972,12/21/20
6310,Charlie and the Chocolate Factory (Charlie Bucket; #1),Roald,Dahl,9780142403884,4.16,Puffin Books,1964,12/9/20
48829708,To Sleep in a Sea of Stars (Fractalverse; #1),Christopher,Paolini,9781250762849,3.8,Tor Books,2020,
84369,The Last Battle (Chronicles of Narnia; #7),C.S.,Lewis,9780007202324,4.01,HarperCollins Publishers,1956,11/30/20
12467,The Naked and the Dead,Norman,Mailer,9780312265052,3.95,Picador,1948,11/30/20
26114175,The Swarm (The Second Formic War; #1),Orson Scott,Card,9780765375629,4.14,Tor Books,2016,11/18/20
65641,The Silver Chair (Chronicles of Narnia; #4),C.S.,Lewis,None,3.96,HarperCollins,1953,11/15/20
47994,The Last Continent (Discworld; #22; Rincewind; #6),Terry,Pratchett,9780552154185,4,Corgi,1998,11/15/20
140225,The Voyage of the Dawn Treader (Chronicles of Narnia; #3),C.S.,Lewis,9780061125270,4.09,HarperCollins,1952,11/1/20
52216445,Shakespeare for Squirrels,Christopher,Moore,9780062434029,3.91,William Morrow,2020,11/1/20
34928122,Artemis,Andy,Weir,9780553448122,3.69,Crown,2017,10/29/20
70539,2010: Odyssey Two,Arthur C.,Clarke,9780345413970,3.95,Del Rey,1982,10/18/20
89724,We Have Always Lived in the Castle,Shirley,Jackson,9780143039976,3.93,Penguin Books,1962,10/13/20
121749,Prince Caspian (Chronicles of Narnia; #2),C.S.,Lewis,9780007202300,3.98,HarperCollins Publishers,1951,10/13/20
7126,The Count of Monte Cristo,Alexandre,Dumas,None,4.31,Penguin Classics,1844,10/6/20
70535,2001: A Space Odyssey (Space Odyssey; #1),Arthur C.,Clarke,None,4.17,Roc,1968,10/6/20
84119,The Horse and His Boy (Chronicles of Narnia; #5),C.S.,Lewis,9780439861366,3.91,Scholastic Inc,1954,9/29/20
884288,Interesting Times (Discworld; #17; Rincewind; #5),Terry,Pratchett,9780061056901,4.15,HarperTorch,1994,9/27/20
100915,The Lion; the Witch and the Wardrobe (Chronicles of Narnia; #1),C.S.,Lewis,None,4.24,HarperCollins Publishers,1950,9/14/20
34499,Sourcery (Discworld; #5; Rincewind; #3),Terry,Pratchett,9780061020674,3.91,Harper,1988,
34497,The Color of Magic (Discworld; #1; Rincewind; #1),Terry,Pratchett,9780060855925,4,Harper,1983,
92057,The Autobiography of Malcolm X,Malcolm,X,None,4.36,Ballantine Books,1965,9/7/20
7073818,Magician's Nephew,C.S.,Lewis,9781615543786,4.05,HarperCollins Publishers,1955,9/1/20
9307674,The Last Guardian (Artemis Fowl; #8),Eoin,Colfer,9781423161615,4.16,Disney/Hyperion Books,2012,8/20/20
7005865,The Atlantis Complex (Artemis Fowl; #7),Eoin,Colfer,9781423128199,3.97,Disney/Hyperion Books,2010,7/26/20
60932,Parable of the Talents (Earthseed; #2),Octavia E.,Butler,9780446610384,4.31,Aspect,1998,7/25/20
17841,Foucault's Pendulum,Umberto,Eco,9780156032971,3.91,Mariner Books,1988,7/4/20
2179276,The Time Paradox (Artemis Fowl; #6),Eoin,Colfer,None,4.08,Hyperion Books for Children/Disney Book Group,2008,7/4/20
23128304,The Strange Library,Haruki,Murakami,9780385354301,3.55,Knopf,2005,6/25/20
2524364,Norwegian Wood,Haruki,Murakami,None,4,EKSMO Publishers,1987,6/24/20
64218,Eric (Discworld; #9; Rincewind; #4),Terry,Pratchett,9780380821211,3.78,Harper,1990,6/18/20
35301333,Noir,Christopher,Moore,9780062433978,3.8,William Morrow,2018,6/14/20
37586,The Lost Colony (Artemis Fowl; #5),Eoin,Colfer,None,4.01,Miramax Books/Hyperion Books for Children,2006,6/6/20
34506,The Light Fantastic (Discworld; #2; Rincewind; #2),Terry,Pratchett,9780061020704,4,HarperTorch,1986,6/6/20
357,The Long Dark Tea-Time of the Soul (Dirk Gently; #2),Douglas,Adams,9780671742515,4.04,Pocket Books,1988,5/25/20
18089900,The Serpent of Venice,Christopher,Moore,9780061779763,3.88,William Morrow,2014,5/24/20
119073,The Name of the Rose,Umberto,Eco,9780156001311,4.14,Houghton Mifflin Harcourt,1980,5/20/20
114954,The Opal Deception (Artemis Fowl; #4),Eoin,Colfer,9781423103998,4.05,Miramax,2005,5/12/20
52397,Parable of the Sower (Earthseed; #1),Octavia E.,Butler,9780446675505,4.21,Grand Central Publishing,1993,5/10/20
29580,Second Foundation (Foundation; #3),Isaac,Asimov,9780553803730,4.27,Bantam Spectra,1953,5/4/20
29581,Foundation and Empire (Foundation; #2),Isaac,Asimov,9780553803723,4.22,Spectra,1952,4/24/20
227865,The Eternity Code (Artemis Fowl; #3),Eoin,Colfer,9780141321318,4.05,Puffin,2003,4/18/20
1366423,From the Earth to the Moon,Jules,Verne,9780553214208,3.76,Bantam Classics,1865,
29579,Foundation (Foundation; #1),Isaac,Asimov,9780553803716,4.17,Bantam,1951,4/18/20
32076670,Ball Lightning,Liu,Cixin,9780765394071,3.79,Tor Books,2004,4/12/20
13539171,Pirate Cinema,Cory,Doctorow,9780765329080,3.73,Tom Doherty,2012,4/1/20
375802,Ender's Game (Ender's Saga; #1),Orson Scott,Card,9780812550702,4.31,Tor,1985,
5907,The Hobbit (The Lord of the Rings; #0),J.R.R.,Tolkien,None,4.29,Houghton Mifflin,1937,
3,Harry Potter and the Sorcerer's Stone (Harry Potter; #1),J.K.,Rowling,9780439554930,4.47,Scholastic Inc,1997,
13496,A Game of Thrones (A Song of Ice and Fire; #1),George R.R.,Martin,9780553588484,4.44,Bantam,1996,
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl,Sagan,9780345409461,4.29,Ballantine Books,1995,
22470,The Origin of Satan: How Christians Demonized Jews; Pagans and Heretics,Elaine,Pagels,9780679731184,3.91,Vintage,1995,
3873,A History of God: The 4000-Year Quest of Judaism; Christianity and Islam,Karen,Armstrong,9780517223123,3.89,Gramercy,1993,
162898,A Connecticut Yankee in King Arthur's Court,Mark,Twain,None,3.77,Simon & Schuster,1889,
24280,Les Miserables,Victor,Hugo,None,4.21,Penguin,1862,
51496,Dr. Jekyll and Mr. Hyde,Robert Louis,Stevenson,9780451528957,3.83,Signet Classic,1886,
485894,The Metamorphosis,Franz,Kafka,None,3.88,Bantam Classics,1915,
